settlement_id,settlement_utr,payment_id,type,gross,fee,tax,net,settled_at
setl_knlceQmYjKtTYf,KKBK0195478104447,pay_Hl2wBqCoqdUPfv,payment,11265.09,33.80,6.08,11225.21,2024-01-03T16:25:35+05:30
setl_ERg1i8BZqzOlnZ,KKBK0195478104447,pay_G4aRKWgjJK7ggW,payment,13828.74,276.57,49.78,13502.39,2024-01-03T19:31:48+05:30
setl_qzbWVa4OLapXs7,AXISP078115114808,pay_eRzWGJk2mdcdwm,payment,21761.97,435.24,78.34,21248.39,2024-01-03T18:17:27+05:30
setl_RJlTnHW4PF002l,AXISP078115114808,pay_CnsGMKa970IKrQ,payment,15940.52,318.81,57.39,15564.32,2024-01-03T09:30:08+05:30
setl_qVkVEVfMNz7xcm,KKBK0065007244891,pay_lQufwUtWuqs0D1,payment,23597.48,471.95,84.95,23040.58,2024-01-03T13:00:57+05:30
setl_d9PObQzxHDjRNs,KKBK0065007244891,pay_GbaTo2tgFsec6C,payment,13664.59,273.29,49.19,13342.11,2024-01-03T18:06:42+05:30
setl_0wPAh03aiOu37q,KKBK0065007244891,pay_LiZgShhgmmqGmR,payment,21973.35,65.92,11.87,21895.56,2024-01-03T19:05:23+05:30
setl_2GQMATDPNjZ3Ma,KKBK0065007244891,pay_y7qx0XOXhRd6jz,payment,14524.83,43.57,7.84,14473.42,2024-01-03T22:10:32+05:30
setl_gOawNXHxg3EYUz,KKBK0065007244891,pay_Eo8dnNzoCXB1Bh,payment,7087.54,21.26,3.83,7062.45,2024-01-03T12:39:12+05:30
setl_CizRUsR1S6NmMs,KKBK0065007244891,pay_0nZluUcNPh3CKF,payment,8016.14,24.05,4.33,7987.76,2024-01-03T13:58:43+05:30
setl_FXRQcxzWQ7dUm1,KKBK0065007244891,pay_O7FRthvDJPzU0r,payment,5714.65,102.86,18.51,5593.28,2024-01-03T21:55:28+05:30
setl_2Pus6MDIUOhvoN,KKBK0703049505800,pay_HLW7slQlkFxAIi,payment,15574.18,311.48,56.07,15206.63,2024-01-04T22:39:15+05:30
setl_XIJoqyNAbPHNMU,KKBK0703049505800,pay_t46xHr4YxXBc3l,payment,1822.57,36.45,6.56,1779.56,2024-01-04T17:02:44+05:30
setl_MphPJdU9INePpm,KKBK0703049505800,pay_FrQLr5xYbjnUX0,payment,3194.62,9.58,1.72,3183.32,2024-01-04T17:31:21+05:30
setl_NYJVncq3HOjy3K,KKBK0703049505800,pay_OgM3tBMsKJwtAa,payment,15129.46,45.39,8.17,15075.90,2024-01-04T21:18:08+05:30
setl_3ep8nzYvX3a2Bo,HDFCR495500653263,pay_wao78QUijJJ2jT,payment,21558.23,64.67,11.64,21481.92,2024-01-04T16:41:17+05:30
setl_MFkQ5KexibG4QZ,HDFCR495500653263,pay_jLYOzuhPDKOzph,payment,9021.67,27.07,4.87,8989.73,2024-01-04T17:06:11+05:30
setl_OQtwjOp1AwrQUz,HDFCR495500653263,pay_L2GUfO3Ha6QAA2,payment,20109.40,402.19,72.39,19634.82,2024-01-04T20:35:30+05:30
setl_Ea05GmWFRMPwO8,HDFCR495500653263,pay_IptvRT1OUBRkny,payment,7646.04,22.94,4.13,7618.97,2024-01-04T09:17:49+05:30
setl_eN9Pot7GaZpfPY,ICICR362370499022,pay_zmaR4ITIKvYo7C,payment,150.00,3.00,0.54,146.46,2024-01-04T09:35:59+05:30
setl_6cv1WChGtaPxgw,ICICR362370499022,pay_v3q6Q4EmT2mmpM,payment,57578.98,0.00,0.00,57578.98,2024-01-04T21:16:11+05:30
setl_NBuwI5pbh17mJO,ICICR362370499022,pay_q7vlAzUwyBJ8QY,payment,23158.41,69.48,12.51,23076.42,2024-01-04T10:49:18+05:30
setl_2IbyVfqjO2tprM,ICICR362370499022,pay_FWBeMC71N5ALz4,payment,15044.35,45.13,8.12,14991.10,2024-01-04T10:33:53+05:30
setl_Hl2BpSOZneMGXM,ICICR883187696082,pay_1uD8HqB8RkLNNI,payment,1624.50,32.49,5.85,1586.16,2024-01-04T19:43:17+05:30
setl_ZhVpVBTcCVG8DQ,ICICR883187696082,pay_GqleigCCREtj8b,payment,12090.21,241.80,43.52,11804.89,2024-01-04T12:59:20+05:30
setl_bxSpcRIHEJHuD1,AXISP911152672624,pay_pNm31nhNukrhWa,payment,23201.05,69.60,12.53,23118.92,2024-01-04T17:58:55+05:30
setl_Le5mE3eXdI6zwR,AXISP911152672624,pay_BYHCWFT2MwMtd7,payment,3038.89,9.12,1.64,3028.13,2024-01-04T21:39:17+05:30
setl_UwC7acrbi3a9nt,AXISP911152672624,pay_enGgoxlOJ6IIUV,payment,3102.29,62.05,11.17,3029.07,2024-01-04T20:52:44+05:30
setl_xscHjFndTyBKFn,AXISP911152672624,pay_JJfCjq3ppsJJne,payment,23372.31,70.12,12.62,23289.57,2024-01-04T12:50:25+05:30
setl_fJdyfFViiIEOmM,AXISP911152672624,pay_enGgoxlOJ6IIUV,chargeback,-3102.29,500.00,90.00,-3692.29,2024-01-04T19:33:15+05:30
setl_Px4GpdmRqC6eOP,AXISP042076275400,pay_PAvtKbs9M9BjcY,payment,24309.95,72.93,13.13,24223.89,2024-01-04T22:42:23+05:30
setl_2QzJAtLBiOKQmi,AXISP042076275400,pay_2x8FS4ELfm7ISc,payment,950.20,2.85,0.51,946.84,2024-01-04T19:45:57+05:30
setl_0EilbVaqzU9Ue5,AXISP042076275400,pay_4VOJjeHSl0jbt8,payment,5822.90,17.47,3.14,5802.29,2024-01-04T15:55:39+05:30
setl_izBlKSmCpQ4XSh,HDFCR585113878822,pay_ZSy6JHNRcgC22p,payment,1904.32,38.09,6.86,1859.37,2024-01-05T09:45:28+05:30
setl_MYmldvjcJLufg9,HDFCR585113878822,pay_xXF6xxV4JOj1lS,payment,3728.01,11.18,2.01,3714.82,2024-01-05T10:43:18+05:30
setl_mhCXTmMzcvXnNQ,AXISP358979217141,pay_fswxeAIsiRrGGR,payment,15257.40,274.63,49.43,14933.34,2024-01-05T12:50:04+05:30
setl_JyK1URtbzEoC6n,AXISP358979217141,pay_VhuyJ7ZmZ5DDci,payment,21402.10,64.21,11.56,21326.33,2024-01-05T12:11:07+05:30
setl_Pqjh7IgHIq6XJk,AXISP358979217141,pay_4BbDFl5TGWi2Y6,payment,1718.46,34.37,6.19,1677.90,2024-01-05T12:39:57+05:30
setl_D0rvJFzSgIesCK,ICICR746721730419,pay_dAlKKZRMtYSPH8,payment,2266.27,6.80,1.22,2258.25,2024-01-06T11:39:15+05:30
setl_m2sXQ46S49KLF0,ICICR746721730419,pay_vYKWAWHoPe5JEK,payment,20382.25,61.15,11.01,20310.09,2024-01-06T21:18:03+05:30
setl_LJ0oFzHw8JRhDQ,ICICR372013892639,pay_rbAKMSzAnkiI0w,payment,15217.81,45.65,8.22,15163.94,2024-01-06T10:46:46+05:30
setl_pMrpTL4TOwkWol,ICICR372013892639,pay_e3fDT7eNXtdvWD,payment,11869.73,35.61,6.41,11827.71,2024-01-06T16:55:02+05:30
setl_ZUzxOTkJ0dqYdC,ICICR372013892639,pay_rbAKMSzAnkiI0w,adjustment,-2.00,0.00,0.00,-2.00,2024-01-06T15:19:30+05:30
setl_cMdK3nLh7fLxVO,KKBK0308259053749,pay_i1a5BQ7Qc4N7A4,payment,16510.74,49.53,8.92,16452.29,2024-01-07T20:11:57+05:30
setl_cyjuyaRVDzTYeo,KKBK0308259053749,pay_C6N5rA4VukeWxu,payment,7878.55,23.64,4.26,7850.65,2024-01-07T14:44:52+05:30
setl_uSznOG61HToeTE,KKBK0308259053749,pay_5wQyN7fH7eCVOk,payment,5233.64,104.67,18.84,5110.13,2024-01-07T08:30:58+05:30
setl_aN4YgLZdYhKMdm,KKBK0308259053749,pay_5wQyN7fH7eCVOk,adjustment,-2.00,0.00,0.00,-2.00,2024-01-07T13:51:53+05:30
setl_6MWvaohGfwVHnV,AXISP352709577630,pay_t7nckdqUkwkpKi,payment,24307.80,72.92,13.13,24221.75,2024-01-07T18:13:17+05:30
setl_LlxCmwqubJrgCz,AXISP352709577630,pay_Q8DkPcNrAuXVcT,payment,4876.10,97.52,17.55,4761.03,2024-01-07T20:21:14+05:30
setl_LWNLk81f1E9KZr,AXISP352709577630,pay_Q8DkPcNrAuXVcT,refund,-2704.10,0.00,0.00,-2704.10,2024-01-07T19:27:47+05:30
setl_RaMxQGsURLJmQM,AXISP352709577630,pay_J3KjJa8cDVcGDX,payment,10544.80,31.63,5.69,10507.48,2024-01-07T13:47:59+05:30
setl_3gwMwkIeRm8ohD,AXISP352709577630,pay_J3KjJa8cDVcGDX,chargeback,-10544.80,500.00,90.00,-11134.80,2024-01-07T20:37:55+05:30
setl_blbXZGuJOWEPGI,ICICR661956365163,pay_qQrdvEGhSQHsMX,payment,13591.22,40.77,7.34,13543.11,2024-01-07T15:19:36+05:30
setl_HFOs38U9PXT5ug,ICICR661956365163,pay_qE8VcvCk5Sr80Q,payment,13005.33,39.02,7.02,12959.29,2024-01-07T15:57:02+05:30
setl_3TzZLis9Gu5Kxa,ICICR661956365163,pay_bMnwuLmGWVmf0P,payment,23258.93,69.78,12.56,23176.59,2024-01-07T18:58:17+05:30
setl_0kdt2ikqA4wrG6,ICICR661956365163,pay_J4mZrEZsKETnXj,payment,23462.52,70.39,12.67,23379.46,2024-01-07T16:12:49+05:30
setl_sUhhRQtn8AVgbE,HDFCR635024564424,pay_QsQQfJZaGxEv4g,payment,13412.82,268.26,48.29,13096.27,2024-01-07T14:02:12+05:30
setl_7lvxnog9hgiVRI,HDFCR635024564424,pay_D4csafhLKmPbjU,payment,21686.87,433.74,78.07,21175.06,2024-01-07T08:05:20+05:30
setl_NyDLzErVgpEMig,HDFCR635024564424,pay_Lt8BIs1le0DQl9,payment,16288.88,48.87,8.80,16231.21,2024-01-07T08:53:04+05:30
setl_DIjdqKxPVrdKhw,HDFCR635024564424,pay_xQjMfeUVXmPEqv,payment,1271.92,22.89,4.12,1244.91,2024-01-07T20:47:37+05:30
setl_xA9zdpotfQ1hkH,HDFCR635024564424,pay_Lt8BIs1le0DQl9,chargeback,-16288.88,500.00,90.00,-16878.88,2024-01-07T08:29:42+05:30
setl_PtzpFPH2MGlEOZ,HDFCR626609238109,pay_9xyJYgPuFVvMwB,payment,19850.64,397.01,71.46,19382.17,2024-01-07T15:17:59+05:30
setl_FhPJWGEfLVtZTX,HDFCR626609238109,pay_qrjQoojbXtE9A4,payment,8687.84,173.76,31.28,8482.80,2024-01-07T19:15:59+05:30
setl_ik8BpKEx6tAQ72,HDFCR626609238109,pay_qrjQoojbXtE9A4,refund,-3207.09,0.00,0.00,-3207.09,2024-01-07T22:09:23+05:30
setl_5uA4gjqeATHuRV,HDFCR626609238109,pay_b7L0P6QWoIt7wY,payment,15574.10,311.48,56.07,15206.55,2024-01-07T18:41:11+05:30
setl_hSA5CPhSl1WrEi,KKBK0804616426077,pay_fjG8ZV0QXtDTqQ,payment,12965.59,38.90,7.00,12919.69,2024-01-08T21:13:38+05:30
setl_JqF52itGihch2Z,KKBK0804616426077,pay_llXb8oBpKOfD28,payment,12018.50,240.37,43.27,11734.86,2024-01-08T19:23:59+05:30
setl_zeVP3bQQyK6Zjf,AXISP728645911455,pay_BkTE6I5NBldlDk,payment,11212.80,33.64,6.06,11173.10,2024-01-08T21:45:42+05:30
setl_mByqLfAwlNfF8P,AXISP728645911455,pay_a8O6uTT7JndNud,payment,11446.03,228.92,41.21,11175.90,2024-01-08T18:43:45+05:30
setl_2llUL2gHahkDQ1,AXISP728645911455,pay_OfDeXs9QspAJI4,payment,20925.32,62.78,11.30,20851.24,2024-01-08T19:38:46+05:30
setl_KIsEEKLQYESGAt,AXISP728645911455,pay_7PXfilYRlbDio0,payment,15280.06,305.60,55.01,14919.45,2024-01-08T09:17:57+05:30
setl_jZ3bdAMhnpvwc2,ICICR986758587422,pay_BkTDBFKQ50SD2S,payment,14694.34,44.08,7.93,14642.33,2024-01-08T12:57:09+05:30
setl_PjUAoXzzC0Xwbj,ICICR986758587422,pay_gd6X7U8WL1gIFk,payment,21766.91,435.34,78.36,21253.21,2024-01-08T08:45:51+05:30
setl_yS2GHnFtvNb3Hq,ICICR986758587422,pay_t8kdVON3dNSOGs,payment,3068.44,9.21,1.66,3057.57,2024-01-08T21:49:19+05:30
setl_KGyqEAB5E8ZihS,ICICR756202235126,pay_FhU6BJavoUKS6P,payment,15793.86,47.38,8.53,15737.95,2024-01-08T10:45:32+05:30
setl_hnDU6w7LzhJcjx,ICICR756202235126,pay_FhU6BJavoUKS6P,refund,-8612.52,0.00,0.00,-8612.52,2024-01-08T13:19:18+05:30
setl_NVtNNf7HU7GUFb,ICICR756202235126,pay_Kd33nYEhv1zJJ3,payment,6142.37,18.43,3.32,6120.62,2024-01-08T18:59:34+05:30
setl_KEUxhdCzEzo2q7,ICICR756202235126,pay_mZ0JfHtKE5vlbG,payment,945.80,2.84,0.51,942.45,2024-01-08T18:06:15+05:30
setl_FX26N8RqPtn7u4,ICICR756202235126,pay_zfNm8x9WHA4CaC,payment,5416.84,16.25,2.93,5397.66,2024-01-08T10:41:59+05:30
setl_aakIREyf2OH3YB,ICICR756202235126,pay_mZ0JfHtKE5vlbG,chargeback,-945.80,500.00,90.00,-1535.80,2024-01-08T09:22:52+05:30
setl_lQ9QHpIC6N6d6A,HDFCR045424956873,pay_wlaUVQRlYMYn87,payment,503.63,1.51,0.27,501.85,2024-01-08T14:17:07+05:30
setl_h84x3QWdXdLAgd,HDFCR045424956873,pay_GcSc4Htyu2Y9nQ,payment,19720.06,59.16,10.65,19650.25,2024-01-08T08:18:54+05:30
setl_vwaKQdFZ1Amm4W,HDFCR045424956873,pay_z1WMCCAMgOPbGK,payment,4169.41,83.39,15.01,4071.01,2024-01-08T13:12:42+05:30
setl_qgZiO2unCwxkGX,AXISP923885778424,pay_usug24E5NQCnDV,payment,24410.30,488.21,87.88,23834.21,2024-01-08T17:56:27+05:30
setl_y5Kcnm1ys3J6xI,AXISP923885778424,pay_2ilHRtAN5VK0sj,payment,2892.13,8.68,1.56,2881.89,2024-01-08T10:48:05+05:30
setl_v96YUaO961oSno,AXISP923885778424,pay_KCMACzXtxloOwf,payment,21910.91,65.73,11.83,21833.35,2024-01-08T17:50:35+05:30
setl_JB3fgIbQEle7ro,AXISP923885778424,pay_f0A6zB0bi2sTEO,payment,19502.56,58.51,10.53,19433.52,2024-01-08T18:33:04+05:30
setl_p3TC4lJy6o1qMs,SBIN0364141603506,pay_9izUy4m1tYPjJt,payment,17382.76,52.15,9.39,17321.22,2024-01-09T22:04:44+05:30
setl_eVPjwncPnRZYNS,SBIN0364141603506,pay_zVhwUFWzkmcbNP,payment,9262.32,185.25,33.35,9043.72,2024-01-09T22:06:24+05:30
setl_E9SX5JpfuNy5Vi,HDFCR812343829484,pay_xofA9ulPn2XZkk,payment,8611.50,155.01,27.90,8428.59,2024-01-09T10:40:48+05:30
setl_pH4PpQSLxtBa1e,HDFCR812343829484,pay_Peb4BFTFRabVho,payment,13486.50,242.76,43.70,13200.04,2024-01-09T11:03:40+05:30
setl_uSm4a1TxzzyUxt,KKBK0092090028624,pay_5oeStSpkprBNqW,payment,23170.31,463.41,83.41,22623.49,2024-01-09T17:04:26+05:30
setl_AQFH2KTU51gJXY,KKBK0092090028624,pay_JmBp4SFEQRO5Tp,payment,5370.96,16.11,2.90,5351.95,2024-01-09T12:47:13+05:30
setl_nXxG7qEULuQvto,AXISP526716718910,pay_eRGOTkxRml6BYl,payment,20774.36,62.32,11.22,20700.82,2024-01-09T13:42:25+05:30
setl_TsmiGJ1FhXsPI2,AXISP526716718910,pay_2Xa1yZ5bhG6UpC,payment,2550.88,45.92,8.27,2496.69,2024-01-09T10:57:28+05:30
setl_07JadH08twQXGL,ICICR593915826368,pay_9b5uxrSP6PP5NE,payment,3901.04,11.70,2.11,3887.23,2024-01-09T11:06:25+05:30
setl_uQ9UyGrRm1yiUJ,ICICR593915826368,pay_YsnQjrU0ZctFQq,payment,19469.08,58.41,10.51,19400.16,2024-01-09T20:03:54+05:30
setl_5sOJBD3nXmOw1g,ICICR593915826368,pay_YsnQjrU0ZctFQq,refund,-19469.08,0.00,0.00,-19469.08,2024-01-09T20:54:09+05:30
setl_shuS1HzRyYWGdZ,KKBK0734353881968,pay_d8OK8MzcoEQ7Ox,payment,20025.78,60.08,10.81,19954.89,2024-01-09T16:45:52+05:30
setl_hU73lLlIXhhmjI,KKBK0734353881968,pay_d8OK8MzcoEQ7Ox,refund,-10333.84,0.00,0.00,-10333.84,2024-01-09T21:48:02+05:30
setl_6imNqNOSIOFkYt,KKBK0734353881968,pay_wHA6as6GWOBJRG,payment,5381.01,16.14,2.91,5361.96,2024-01-09T20:27:24+05:30
setl_LehgHeNwuq1nax,KKBK0734353881968,pay_wHA6as6GWOBJRG,refund,-1131.97,0.00,0.00,-1131.97,2024-01-09T11:24:06+05:30
setl_fvJrqgctUlXQWI,KKBK0734353881968,pay_wHA6as6GWOBJRG,adjustment,5.00,0.00,0.00,5.00,2024-01-09T22:54:25+05:30
setl_5iEQPHhalZaAHv,HDFCR479285447288,pay_SOiJq4NwWQzCBv,payment,548.35,10.97,1.97,535.41,2024-01-10T19:42:58+05:30
setl_a3lvgEfFjhEjOo,HDFCR479285447288,pay_cBk5V4kwivdEk8,payment,22300.59,446.01,80.28,21774.30,2024-01-10T14:23:19+05:30
setl_Qv8TArEVpjFpV1,HDFCR479285447288,pay_q9OBiUa2RgriAu,payment,7791.26,23.37,4.21,7763.68,2024-01-10T19:15:42+05:30
setl_gl6wsgaI1uTwWG,HDFCR479285447288,pay_WgTLl1Mjhyqljb,payment,8472.02,25.42,4.58,8442.02,2024-01-10T13:15:41+05:30
setl_yQ18kUxWyqljnR,AXISP247563434322,pay_82YlBg6MsDVHjh,payment,5198.02,15.59,2.81,5179.62,2024-01-10T22:59:50+05:30
setl_WWgUxO1NIYnqKY,AXISP247563434322,pay_GsnRIkcocj25qX,payment,21281.64,425.63,76.61,20779.40,2024-01-10T20:25:09+05:30
setl_0fiV3YtDpHqHbc,KKBK0720907476647,pay_ll1lETObklyLee,payment,20241.00,60.72,10.93,20169.35,2024-01-11T16:18:06+05:30
setl_W18WjjBX8YhATi,KKBK0720907476647,pay_4bAjOo2x2Zgkgg,payment,17568.30,52.70,9.49,17506.11,2024-01-11T13:08:11+05:30
setl_nnUhRiTRAdgKDK,KKBK0720907476647,pay_AQzXuXOpzEHHYx,payment,14939.48,44.82,8.07,14886.59,2024-01-11T10:01:09+05:30
setl_JYjlUURszuWRrj,KKBK0720907476647,pay_ll1lETObklyLee,adjustment,-5.00,0.00,0.00,-5.00,2024-01-11T22:41:02+05:30
setl_a4lm5ofJc9Dcft,AXISP242635395343,pay_Q2IZ4FRAj8G8hn,payment,16775.83,335.52,60.39,16379.92,2024-01-11T13:48:18+05:30
setl_Qo9L7J9gaVt1X3,AXISP242635395343,pay_US8RgzTgYjKxK0,payment,21130.58,63.39,11.41,21055.78,2024-01-11T15:06:29+05:30
setl_eyCfCN3CfT45Vm,AXISP242635395343,pay_rwflVpDp2OihJc,payment,12548.70,37.65,6.78,12504.27,2024-01-11T13:04:20+05:30
setl_DQjRvQyaWLePMu,AXISP242635395343,pay_ThCH6jnJ9WdYW8,payment,20546.69,61.64,11.10,20473.95,2024-01-11T21:46:47+05:30
setl_xIkBrOQNR64gfZ,HDFCR111571247952,pay_tXPqS961NNJcUl,payment,6336.03,19.01,3.42,6313.60,2024-01-12T09:41:01+05:30
setl_Lu79o8lNZXJhN8,HDFCR111571247952,pay_UMHNFXP0nWIh16,payment,17400.31,52.20,9.40,17338.71,2024-01-12T10:25:57+05:30
setl_ShhJyV4ZjtfbaV,HDFCR111571247952,pay_tXPqS961NNJcUl,adjustment,-5.00,0.00,0.00,-5.00,2024-01-12T10:01:39+05:30
setl_lalJLb89EMHjT5,AXISP823371002967,pay_NWlOnm0TYxqdfi,payment,5625.58,101.26,18.23,5506.09,2024-01-12T11:38:01+05:30
setl_xNdkcFKsZN7vbl,AXISP823371002967,pay_j1hnunT6qD7vIs,payment,21876.28,65.63,11.81,21798.84,2024-01-12T13:27:50+05:30
setl_94r0y34cNefXSr,AXISP823371002967,pay_OxWhtauCX3IxLG,payment,10439.38,31.32,5.64,10402.42,2024-01-12T20:22:25+05:30
setl_U37zBhGJO8tToq,AXISP823371002967,pay_cs9EN406gnZi91,payment,13285.49,39.86,7.17,13238.46,2024-01-12T12:45:05+05:30
setl_ZpO1ReEnPDxEvY,AXISP823371002967,pay_cs9EN406gnZi91,refund,-4533.06,0.00,0.00,-4533.06,2024-01-12T20:33:32+05:30
setl_KGEAQO7ndcqego,AXISP854410948406,pay_gi4xCMmyeAQ6Jg,payment,6609.18,132.18,23.79,6453.21,2024-01-12T17:44:45+05:30
setl_soFUWgXuEvHPpC,AXISP854410948406,pay_T2qmWvrKTfFRDs,payment,16628.80,49.89,8.98,16569.93,2024-01-12T21:22:19+05:30
setl_hXJXvga5jQGrIk,AXISP854410948406,pay_13KgQTb81OiEpT,payment,21869.40,437.39,78.73,21353.28,2024-01-12T15:18:04+05:30
setl_iIsfJMHx2BiBt5,AXISP854410948406,pay_nZhEavZdi2WF7I,payment,803.99,2.41,0.43,801.15,2024-01-12T19:22:29+05:30
setl_0st9aEQhaLhgmD,AXISP189025456739,pay_Vfi4WJxM32d0hP,payment,23592.34,70.78,12.74,23508.82,2024-01-12T21:32:28+05:30
setl_vSWrVsy4NxDOJ5,AXISP189025456739,pay_RmDrgKwrxXCYjr,payment,7312.84,21.94,3.95,7286.95,2024-01-12T20:42:33+05:30
setl_rmkYYlKNPmY3wz,AXISP189025456739,pay_KKZebToPEQuoV4,payment,13742.75,274.86,49.47,13418.42,2024-01-12T16:55:04+05:30
setl_quViHT5P2oe64R,ICICR893667922611,pay_Fw30XBM2JhGgEd,payment,24073.05,481.46,86.66,23504.93,2024-01-12T20:51:02+05:30
setl_azUYHcX2pddBrt,ICICR893667922611,pay_LLeI6qccFOAs08,payment,3118.01,56.12,10.10,3051.79,2024-01-12T17:41:56+05:30
setl_xZfrLE1xcmlAds,AXISP146402280227,pay_6mRY31BswI1p3t,payment,3371.38,10.11,1.82,3359.45,2024-01-12T16:48:22+05:30
