order_id,payment_id,amount,currency,status,captured_at,customer_ref,method
order_Zb5jC9A942s22f,pay_y8ZEurHi0W3VcM,2806.28,INR,captured,2024-01-02T13:16:05+05:30,cust_39133626,card
order_MBn3ihTvAXpNpL,pay_sxY2NPeILkvnU5,10000.00,INR,captured,2024-01-02T19:38:18+05:30,cust_76863557,upi
order_fHMrtFmYHyNZQe,pay_V7VbeqcdWFMFzR,23065.84,INR,captured,2024-01-02T19:27:46+05:30,cust_92291606,card
order_hTa1acw5l7cXSO,pay_AGq8MEFd1kjV3P,1381.29,INR,captured,2024-01-02T11:20:15+05:30,cust_47203591,upi
order_oEd9Sf53GRx8ff,pay_pazov026aO0TgG,23074.35,INR,captured,2024-01-02T10:40:52+05:30,cust_35061289,card
order_Yk70IIfgXhdWnm,pay_0fYsRLn1jS8yds,13081.36,INR,captured,2024-01-02T14:23:43+05:30,cust_66528009,upi
order_X9WwHE4Fyltn3W,pay_cMpszIdrim2GNX,18857.07,INR,captured,2024-01-03T08:51:30+05:30,cust_57991628,netbanking
order_miS40ubK4W017x,pay_IIl92EtEfonGa4,14900.61,INR,captured,2024-01-03T18:25:37+05:30,cust_13119796,wallet
order_N2BqpepgaxT82E,pay_L57nJ6iUo8k2fR,23951.95,INR,captured,2024-01-03T14:22:34+05:30,cust_38757247,upi
order_sPLmbksf0tyEOf,pay_mlRSTqrodJ0jwA,2396.29,INR,captured,2024-01-02T16:24:11+05:30,cust_33104285,upi
order_ceQmYjKtTYfII1,pay_y0cJGJ8j6B6knl,20125.88,INR,captured,2024-01-02T16:29:58+05:30,cust_87654415,upi
order_8BZqzOlnZTV1YF,pay_uoU53bYsrERg1i,16750.75,INR,captured,2024-01-02T10:04:19+05:30,cust_74755182,netbanking
order_17QDikXnL6SRr3,pay_ZqZfbd0WnnnmOF,14819.99,INR,captured,2024-01-02T21:22:29+05:30,cust_24683156,upi
order_W4PF002lghqYVl,pay_QSO9qzycRJlTnH,17099.11,INR,captured,2024-01-03T18:57:21+05:30,cust_62284835,card
order_WWiAAADaHT63UG,pay_9i1lfu9tdCmVJj,24032.51,INR,captured,2024-01-03T08:43:00+05:30,cust_62631351,netbanking
order_bQzxHDjRNsPPqL,pay_iTKkwOc2pHd9PO,9558.71,INR,captured,2024-01-03T10:26:53+05:30,cust_85627467,card
order_03aiOu37qTxvhy,pay_S4NC8qdY20wPAh,21612.47,INR,captured,2024-01-03T15:17:53+05:30,cust_38767160,upi
order_pvPx0I9dNj001e,pay_qtRQVJJ8PuGRfP,150.00,INR,captured,2024-01-03T15:20:15+05:30,cust_32553804,upi
order_wNXHxg3EYUzpmh,pay_CvZY0uVLSwCgOa,8825.97,INR,captured,2024-01-03T21:25:13+05:30,cust_47714985,card
order_2F0HtTInnSQ5iS,pay_OLt2zLQpyvsXiL,5534.72,INR,captured,2024-01-03T10:32:34+05:30,cust_63134564,upi
order_xzWQ7dUm11BnNR,pay_HwCMPInOyFXRQc,12529.09,INR,captured,2024-01-03T13:48:37+05:30,cust_56792161,upi
order_6MDIUOhvoN4pc2,pay_eRG7GWjHzv2Pus,24169.81,INR,captured,2024-01-04T14:58:50+05:30,cust_93529838,card
order_oqyNAbPHNMUKRe,pay_R8WO6UjCufdXIJ,8772.63,INR,captured,2024-01-04T22:32:06+05:30,cust_26629380,upi
order_hPJdU9INePpmJ6,pay_JyHfnTTn40ilMp,5318.85,INR,captured,2024-01-04T13:08:42+05:30,cust_61693463,upi
order_ncq3HOjy3K1iFf,pay_frZ3mTMT30NYJV,7522.33,INR,captured,2024-01-05T13:32:00+05:30,cust_68861541,card
order_4Gv1EDLFikeNnl,pay_uRGZZqHkOwOZGx,1823.72,INR,captured,2024-01-05T13:38:45+05:30,cust_86431645,wallet
order_KexibG4QZLl3L2,pay_nLDDnziKVMFkQ5,12038.94,INR,captured,2024-01-05T16:32:48+05:30,cust_14168876,wallet
order_RknyuIRRj7afj5,pay_zWDwIptvRT1OUB,16820.43,INR,captured,2024-01-06T14:05:04+05:30,cust_23679462,card
order_Yo7CzakFIFvhFp,pay_fryPzmaR4ITIKv,162.04,INR,captured,2024-01-06T16:52:50+05:30,cust_56957794,wallet
order_pMjg5PPMVHcDME,pay_5Dv3q6Q4EmT2mm,14494.22,INR,captured,2024-01-06T22:57:36+05:30,cust_84992250,upi
order_gqoAxj7jXkE90G,pay_oDMwEnRx0rliJo,7999.74,INR,captured,2024-01-06T19:20:50+05:30,cust_42800122,upi
order_qNqB1wK7zlbTP6,pay_rNikYuNJ0ekots,3438.64,INR,captured,2024-01-05T19:47:05+05:30,cust_23094075,upi
order_ftzjaGVirHQEUs,pay_Ii6HKCU2ANH4Do,22823.74,INR,captured,2024-01-05T20:27:51+05:30,cust_22034531,wallet
order_EvtX9CXu07dWeD,pay_MqMlbdHlgqSToj,4778.68,INR,captured,2024-01-05T11:57:53+05:30,cust_23097392,card
order_fjfM59MdNRXho8,pay_nhNukrhWacWDKx,2334.70,INR,captured,2024-01-05T20:41:48+05:30,cust_38703720,netbanking
order_O5ZDNwU3YXdMGT,pay_bglbNyEMKdnSa5,5593.12,INR,captured,2024-01-06T21:19:04+05:30,cust_99075152,upi
order_7acrbi3a9ntV6Y,pay_I90zNZuoHxIUwC,14927.54,INR,captured,2024-01-06T22:35:32+05:30,cust_59103135,netbanking
order_dTyBKFnryifJdy,pay_11oOLaWxscHjFn,18366.04,INR,captured,2024-01-07T09:25:32+05:30,cust_46741355,upi
order_XsDuTnHUIM9RPx,pay_B5oQjTfTpMjZrv,18697.63,INR,captured,2024-01-07T22:42:33+05:30,cust_01276060,card
order_py9966nvyiTGQ2,pay_Sc5sEUbQws98rd,19359.33,INR,captured,2024-01-07T18:14:26+05:30,cust_21993521,card
order_obeWi0DOlyDkoz,pay_sUYNTjlib9MLLK,17516.10,INR,captured,2024-01-07T08:59:17+05:30,cust_92622194,wallet
order_ks4Q4COfFlK3Hy,pay_22pH8cyV7lB2Vr,19091.87,INR,captured,2024-01-07T13:28:01+05:30,cust_15724269,upi
order_EYLEnOCBLa2rMY,pay_iVdtT7rl37aVaE,6445.21,INR,captured,2024-01-07T11:03:11+05:30,cust_16086829,upi
order_LtG9viIGNElLR8,pay_rGGRLgTM9DQ59r,5268.02,INR,captured,2024-01-07T08:07:01+05:30,cust_47726403,card
order_QIbJu4Xej0vxHk,pay_DDcijC13CY5dGJ,14324.09,INR,captured,2024-01-07T17:24:11+05:30,cust_58773044,wallet
order_fCcGOtJt3tlrtB,pay_i2Y6PiSCSGa5QK,13167.38,INR,captured,2024-01-07T09:17:09+05:30,cust_11951552,card
order_on1M4yRPW2CbDv,pay_SPH8UCiY5DCQSC,14089.01,INR,captured,2024-01-06T15:54:10+05:30,cust_23554715,netbanking
order_NdniKUYUOCsMBm,pay_SZhKugBtzLQKYu,3417.12,INR,captured,2024-01-06T22:20:19+05:30,cust_59394930,card
order_2O8iiX13R5MCAY,pay_AnkiI0wzr2haOi,16205.36,INR,captured,2024-01-06T14:22:14+05:30,cust_16582545,upi
order_RLsWqNJJOsTbEh,pay_HJM4HaC4Juv8sk,3424.99,INR,captured,2024-01-06T09:54:50+05:30,cust_21280115,card
order_rXxtG7gGv0LOqq,pay_qYdCDD65oQyqGA,14623.52,INR,captured,2024-01-08T20:06:16+05:30,cust_63777513,upi
order_rA4VukeWxud7qB,pay_h1iO3J73RpC6N5,5258.24,INR,captured,2024-01-08T15:59:12+05:30,cust_61417269,card
order_eCVOkcxlR3NwfN,pay_a7YDJ5wQyN7fH7,3090.19,INR,captured,2024-01-07T19:12:08+05:30,cust_00923764,upi
order_YhKMdmuZTyhQHt,pay_Eb4MpOaN4YgLZd,1696.76,INR,captured,2024-01-07T20:13:48+05:30,cust_01027131,card
order_hGfwVHnVOrmXQ8,pay_NGz6LclE6MWvao,5472.25,INR,captured,2024-01-07T15:31:11+05:30,cust_19032268,upi
order_E9KZrTTpuJ3KjJ,pay_0Ckv2LWNLk81f1,11919.39,INR,captured,2024-01-08T08:26:02+05:30,cust_04705478,upi
order_HXWf2Td6P3gwMw,pay_2zWwCN1e3ucAq6,19601.53,INR,captured,2024-01-08T10:41:35+05:30,cust_75713567,card
order_gjjm7bzQ5DATbl,pay_CwPQ82l2fyl7ek,22499.57,INR,captured,2024-01-08T08:55:51+05:30,cust_29643635,netbanking
order_vxHks5zEjCtaT8,pay_80QPjocthqlIct,22602.80,INR,captured,2024-01-08T13:41:45+05:30,cust_28979677,upi
order_tBIn3TzBkT3TzZ,pay_78yELFdPySAxav,18833.86,INR,captured,2024-01-08T17:05:09+05:30,cust_24890970,card
order_wDBpQ8YxTbqKjC,pay_sNNhPrl4NbVE8L,252.62,INR,captured,2024-01-08T19:08:22+05:30,cust_12493259,upi
order_hieQWeWUcgXFdh,pay_twY3LVvSbYn1io,878.94,INR,captured,2024-01-10T12:02:04+05:30,cust_30016526,upi
order_VtCGEwrSfExCTQ,pay_S550DRlPgZ8AFz,22678.71,INR,captured,2024-01-10T21:28:14+05:30,cust_52810846,upi
order_EMigdeQ8xQjMfe,pay_SKqWNyDLzErVgp,21084.19,INR,captured,2024-01-10T20:33:49+05:30,cust_44245585,upi
order_dKhwYKVMxA9zdp,pay_JEIHDIjdqKxPVr,20595.34,INR,captured,2024-01-10T11:41:19+05:30,cust_59033034,card
order_R1Jn7UC6HMVAJM,pay_nXOsXAHmyMCVlb,22424.42,INR,partially_refunded,2024-01-11T16:12:23+05:30,cust_42778489,upi
order_tZTXU6ngnrz1dH,pay_00oJFhPJWGEfLV,3937.72,INR,captured,2024-01-11T19:07:20+05:30,cust_54227143,upi
order_c1Z6Dz0S2YZRFv,pay_4y8pfZon34N2Vz,18705.71,INR,captured,2024-01-11T17:46:52+05:30,cust_53676146,upi
order_MLj7kJaGV5ZEnm,pay_yxZJbbILofCq0d,17535.24,INR,captured,2024-01-11T21:52:50+05:30,cust_27342287,upi
order_syw8IJqF52itGi,pay_pfduo4967LUcpM,17904.10,INR,captured,2024-01-11T09:20:02+05:30,cust_94923492,card
order_Fq3KK8GJzeVP3b,pay_95cwREE01hf1lk,19742.97,INR,captured,2024-01-11T18:43:07+05:30,cust_35981086,upi
order_LwfwmByqLfAwlN,pay_VybmyyO7jsXT54,7616.31,INR,captured,2024-01-11T09:02:32+05:30,cust_34261465,upi
order_BYv4Yne8qPAbya,pay_wKVbTCW0czRtSU,23993.70,INR,captured,2024-01-11T18:30:29+05:30,cust_68964693,netbanking
order_3zDE6vRbrlvon4,pay_IsEEKLQYESGAtd,24420.81,INR,captured,2024-01-11T13:58:38+05:30,cust_87487349,card
order_VVI302Lgd6X7U8,pay_wqPk1FYuhoIE9W,2123.39,INR,captured,2024-01-11T20:39:39+05:30,cust_79801689,wallet
order_wbjaX6ft8kdVON,pay_xUwPjUAoXzzC0X,7333.24,INR,captured,2024-01-11T22:36:03+05:30,cust_99789487,upi
order_VT9gdxMvcOhsTC,pay_STh9rfIGUjbXKo,22691.59,INR,partially_refunded,2024-01-13T11:51:47+05:30,cust_95865532,upi
order_jx9sEXiKd33nYE,pay_R1hnDU6w7LzhJc,19347.86,INR,captured,2024-01-13T09:35:22+05:30,cust_00434338,upi
order_D3h6lbWpR3BYLy,pay_1RJXRIhIlMJdJl,11783.95,INR,captured,2024-01-13T08:31:55+05:30,cust_93105309,card
order_VOhJB0FWiHkp77,pay_FF6qtIebN4bIKg,24729.84,INR,captured,2024-01-13T16:28:02+05:30,cust_04829094,upi
order_aD3Pz3RVHWOebZ,pay_tQvqUCp8vCLaQO,21323.69,INR,captured,2024-01-13T18:28:43+05:30,cust_19363889,wallet
order_Tr0b8QMQ2aAPO0,pay_rFkmTPLkKUh512,16763.05,INR,captured,2024-01-13T13:27:54+05:30,cust_92643782,upi
order_VMJfdct0eh4BsM,pay_YKMupgovduX6WM,1319.06,INR,captured,2024-01-13T09:06:43+05:30,cust_00846487,upi
order_GOioYIdv8NmelD,pay_ichKFOwKHjDLs8,18798.89,INR,captured,2024-01-14T19:29:38+05:30,cust_68532318,upi
order_kqgZiO2unCwxkG,pay_iBN4w8mrnqk0pm,1409.02,INR,partially_refunded,2024-01-14T20:39:56+05:30,cust_47181156,card
order_ocFuBAwEqbBqe3,pay_m3ConAxj0pfUsG,24644.00,INR,captured,2024-01-14T12:53:32+05:30,cust_56790002,card
order_B0bi2sTEOvnAUV,pay_oSnoKIDYvf0A6z,6411.30,INR,captured,2024-01-14T19:34:19+05:30,cust_30791936,netbanking
order_zUy4m1tYPjJtmS,pay_m4xmsGCwau4y9i,20643.92,INR,captured,2024-01-14T15:17:12+05:30,cust_01038598,upi
order_hwUFWzkmcbNPCv,pay_fRc2j2HPeT34zV,7844.21,INR,captured,2024-01-14T14:54:12+05:30,cust_30193740,card
order_lmH6hnwkytyCeY,pay_9ulPn2XZkkzguI,822.70,INR,captured,2024-01-16T18:39:23+05:30,cust_08474977,upi
order_mxNoS9B2itWcXz,pay_FTFRabVhoApeiE,24688.22,INR,captured,2024-01-16T21:18:48+05:30,cust_08325962,upi
order_LAj7DVAf4sHIkx,pay_mALsJ7m1D6wxDA,13213.70,INR,captured,2024-01-17T12:29:18+05:30,cust_36014110,upi
order_PjL6jpJPkhfSxR,pay_UvRNwdxApD5wRb,10856.31,INR,captured,2024-01-17T22:05:33+05:30,cust_98146558,card
order_Yl82B4gNefhdbo,pay_zzrAkliEFgJnmU,3079.36,INR,refunded,2024-01-17T15:43:48+05:30,cust_10705905,card
order_4TsmiGJ1FhXsPI,pay_wcYuBLyLfA5591,13663.35,INR,captured,2024-01-16T21:29:10+05:30,cust_89452196,upi
order_fT6Uhw07JadH08,pay_VLNxSTxNI1Ynhf,9537.11,INR,captured,2024-01-16T13:49:23+05:30,cust_79165108,wallet
order_9O09HuQ9UyGrRm,pay_Rx8uZnTYRd1lEy,9197.32,INR,captured,2024-01-16T21:35:25+05:30,cust_03780936,upi
order_OxQXOW1OrOwhfE,pay_8ld8OK8MzcoEQ7,2512.71,INR,captured,2024-01-16T18:58:32+05:30,cust_25946053,upi
order_HA6as6GWOBJRG9,pay_LlIXhhmjI0c8Fw,5071.01,INR,captured,2024-01-17T13:38:34+05:30,cust_56600182,upi
order_gHeNwuq1nax8xg,pay_RlxOYLAj9AbLeh,11449.44,INR,partially_refunded,2024-01-17T22:07:11+05:30,cust_58580352,wallet
order_FTDF93RzM4USRU,pay_ztfeT6kdUIE27A,3796.62,INR,captured,2024-01-17T11:47:42+05:30,cust_98856696,wallet
order_uva3lvgEfFjhEj,pay_nTJns5NZcCMEwM,20413.71,INR,captured,2024-01-17T18:16:14+05:30,cust_43385296,upi
order_QdZALaDrfAMTlr,pay_QhUWyTTZi7Xhva,23223.85,INR,captured,2024-01-17T09:55:16+05:30,cust_92817875,upi
order_l6wsgaI1uTwWGx,pay_sqrvztccdUnD4g,18062.73,INR,partially_refunded,2024-01-17T18:17:13+05:30,cust_50166098,card
order_2XCRGsnRIkcocj,pay_yQ18kUxWyqljnR,8127.18,INR,captured,2024-01-17T22:17:59+05:30,cust_18099216,card
order_1yBTAjDECYkJ6l,pay_16KSQ6pMLmBumN,22689.71,INR,captured,2024-01-17T12:01:19+05:30,cust_11360029,card
order_vg4P5YSea5jOty,pay_Mh553LlGLQjPsY,11970.14,INR,captured,2024-01-18T19:50:50+05:30,cust_98147131,upi
order_0WiCZI5AnnUhRi,pay_GWYnfwm0wDig4w,24517.39,INR,captured,2024-01-18T19:01:44+05:30,cust_93760880,card
order_eL0brHeLUtINcq,pay_lUI0YDtNZkXOmg,2498.67,INR,captured,2024-01-19T17:36:02+05:30,cust_57039032,upi
order_vWvw1A3VymLejM,pay_C2fS2YOVj7GTO5,6912.18,INR,refunded,2024-01-19T15:06:51+05:30,cust_07387844,upi
order_lg7yAydvLnThCH,pay_IjgxJ0n2PvDHYg,10418.36,INR,partially_refunded,2024-01-19T15:09:40+05:30,cust_25970879,card
order_zGaBZhB8gn8AHk,pay_PMu96UTtjCj1h8,8478.20,INR,captured,2024-01-19T14:13:22+05:30,cust_21693333,upi
order_nCxmDh74zYRTax,pay_XgOMzEU5gBKcrA,4311.80,INR,captured,2024-01-18T11:32:18+05:30,cust_26399609,wallet
order_jtfbaVjMH8JbT8,pay_yTytjoShhJyV4Z,5555.21,INR,captured,2024-01-18T18:40:49+05:30,cust_32825277,wallet
order_Lb89EMHjT5lbbF,pay_Ebe7eQxt4YlalJ,8872.99,INR,captured,2024-01-18T10:13:55+05:30,cust_38010612,upi
order_37pzL26GyhYAlp,pay_mSABKqtgxmv3YB,13218.82,INR,captured,2024-01-18T11:42:23+05:30,cust_37130347,upi
order_06gnZi91SofSYY,pay_ZzstveWEcs9EN4,3063.11,INR,captured,2024-01-20T16:00:59+05:30,cust_60800326,upi
order_nYlgmKG1VtCjF4,pay_ToqsfI2OTme8da,11916.76,INR,captured,2024-01-20T11:58:23+05:30,cust_34624046,upi
order_pgh3JoGr2RzynZ,pay_uBwdx5mlkrLGgd,21213.39,INR,captured,2024-01-20T19:17:31+05:30,cust_27325705,upi
order_T9pEwavS3W13Kg,pay_EpgYJ9ZGkjfsTC,20023.87,INR,captured,2024-01-20T18:33:46+05:30,cust_61429305,card
order_jQGrIkEesCnZhE,pay_6rlJRZhXJXvga5,16550.82,INR,captured,2024-01-20T08:27:22+05:30,cust_60232867,card
order_ZfGRFQwvC7C4bV,pay_B2XiVpzmss5ClW,13183.20,INR,captured,2024-01-20T09:48:08+05:30,cust_63251552,upi
order_EQhaLhgmDZBdhz,pay_PTdmiTEnP0st9a,5243.67,INR,captured,2024-01-20T10:52:15+05:30,cust_85868646,card
order_DOJ5WGiu7vMzc0,pay_dOvSvSWrVsy4Nx,22172.43,INR,captured,2024-01-21T10:14:06+05:30,cust_64632797,upi
order_ciaWJ1vQ7TGlmZ,pay_NImEQnUAGWfb7f,15988.90,INR,captured,2024-01-21T16:22:22+05:30,cust_65104300,upi
order_HT5P2oe64RVc86,pay_FydRgD4qbuquVi,21866.41,INR,captured,2024-01-21T17:47:39+05:30,cust_98417142,wallet
order_2pddBrtL39iyOO,pay_M4vv4ofazUYHcX,18519.07,INR,captured,2024-01-21T09:16:34+05:30,cust_27888433,upi
order_0xbxBnxOHObV64,pay_SWcoBV7bZqKs7d,8990.31,INR,captured,2024-01-21T20:57:21+05:30,cust_99857384,upi
order_hJtqlCBC7D0nd6,pay_aX6fpHuyMwOWYL,10141.96,INR,captured,2024-01-21T12:57:39+05:30,cust_59427242,upi
order_Lw83x6sbwsjKgn,pay_cogFhemJZQeArb,14969.94,INR,captured,2024-01-21T13:32:45+05:30,cust_75532807,upi
order_oWoZ95p4PPLXvh,pay_X8ot8QB7zeIewE,10385.31,INR,captured,2024-01-22T14:26:32+05:30,cust_95678801,upi
order_ilV46f3KwOxBFK,pay_33KM9cTwBzBZrD,12455.74,INR,captured,2024-01-22T20:06:14+05:30,cust_23585843,upi
order_bm6JTGZsgR0BAq,pay_U5Pim0Ub37HXaZ,11031.24,INR,captured,2024-01-22T21:08:17+05:30,cust_71307735,wallet
order_ELScQMNovG7202,pay_2nmDElEiNfGSnA,5890.93,INR,refunded,2024-01-22T18:31:31+05:30,cust_73340187,card
order_dnH9ZySrkxzIpa,pay_Wg8LiH6bxWuvVd,7134.99,INR,captured,2024-01-21T21:01:48+05:30,cust_91341327,upi
order_7ID4HpbEyxHgn8,pay_XmLtuFbqmqODsf,4157.93,INR,captured,2024-01-21T14:49:14+05:30,cust_44131605,card
order_UkB8cAkXEUHysA,pay_HtOtRF19fgRxUk,23739.16,INR,captured,2024-01-23T12:46:59+05:30,cust_82385126,card
order_1KsMzpHOejTrqg,pay_lRHudDjvIoM5rY,384.98,INR,partially_refunded,2024-01-23T20:33:37+05:30,cust_63586976,upi
order_xlUaBGatfwp5Lc,pay_WQIAvbwCPTnI96,18674.01,INR,captured,2024-01-23T12:41:30+05:30,cust_39720507,upi
order_CZf5f4lftMbkaN,pay_VjqkcLQzN06tIh,2874.40,INR,captured,2024-01-22T15:05:56+05:30,cust_72869171,upi
order_VqCbhOliKxxKcR,pay_ZxHnRvYXmRFZXf,7300.22,INR,captured,2024-01-22T18:22:55+05:30,cust_91439131,upi
order_WdfXivyCOmktl1,pay_AqJKkksLRG6JiP,21413.47,INR,captured,2024-01-22T14:05:46+05:30,cust_26834346,upi
order_nAvOArxYc7AkQZ,pay_TKnLVwvZLU4Oil,14698.66,INR,captured,2024-01-22T15:51:05+05:30,cust_37648115,upi
order_HhiE3vCM445YJc,pay_PVbqszBscgTGyk,10733.35,INR,captured,2024-01-23T13:23:02+05:30,cust_19683909,upi
order_iqL8tnbudrSZKN,pay_DVBUWrPL4Qqzbz,2198.12,INR,captured,2024-01-23T13:34:24+05:30,cust_45338184,upi
order_9JljWTyzUzLtwg,pay_vA9b8IEo5iL0gn,24684.03,INR,refunded,2024-01-23T22:43:40+05:30,cust_73538448,upi
order_CNXZ24pSeUQzGD,pay_SoDSmiebJCQBok,6918.73,INR,captured,2024-01-23T14:04:50+05:30,cust_42717650,upi
order_KVjrnwws6jNDBs,pay_XngNe3EpqsBWRJ,6103.81,INR,captured,2024-01-23T19:51:44+05:30,cust_16822851,netbanking
order_UYW3TwcM7Fq70H,pay_xPenmjLThmEJNa,7506.27,INR,captured,2024-01-23T09:51:03+05:30,cust_45271982,upi
order_mXMCaULEkFF6s1,pay_NmhfmHnEJK1g2W,2292.56,INR,captured,2024-01-23T11:21:17+05:30,cust_65617108,upi
order_mPpZbAxITXMBqe,pay_ZttIVa6dzOiCrY,14147.32,INR,captured,2024-01-24T10:20:46+05:30,cust_47490669,card
order_04B2lDCuQRpUbh,pay_mfpJVqGsbVeWSt,24888.35,INR,captured,2024-01-24T14:27:25+05:30,cust_87809359,upi
order_bJaZbnAqnPuCPV,pay_VArB2TOeOvGQYA,8156.40,INR,captured,2024-01-24T17:59:22+05:30,cust_87511315,card
order_Utl9XwpgCaXy1v,pay_BymxYfk4ShUhEL,8898.66,INR,captured,2024-01-23T12:53:04+05:30,cust_48390634,upi
order_bbbDTizHVSkgvn,pay_kGjYPw5Wbmzx0M,6755.30,INR,captured,2024-01-23T14:04:07+05:30,cust_94484880,upi
order_9CqBUOFu9lv2VC,pay_X8aNZoyaD1l18z,16299.32,INR,captured,2024-01-25T09:42:54+05:30,cust_35036912,card
order_1o5SH7Amd8yyGA,pay_UGWIGcHHR9kjQN,851.25,INR,captured,2024-01-25T15:29:20+05:30,cust_19025396,upi
order_hUCe84vq9x3gCK,pay_T6jBPVahtgMDOs,16987.63,INR,captured,2024-01-25T22:45:44+05:30,cust_84250798,upi
order_X7JhVwP4AyUvW0,pay_EKPgWRIZxG5xLK,20515.39,INR,refunded,2024-01-25T17:55:33+05:30,cust_03874921,upi
order_sIlMefS4P0jvvi,pay_Um1EuBwjkaltFN,21003.77,INR,captured,2024-01-25T14:06:54+05:30,cust_98825094,card
order_6tw7i19pHh8WFD,pay_Jz0KM38UR8Xqw3,23483.85,INR,captured,2024-01-25T13:06:51+05:30,cust_82379822,card
order_QtaLSwh8MGTTpL,pay_ER69nCHPuJ26iH,1306.66,INR,captured,2024-01-25T20:11:53+05:30,cust_16410959,card
order_7lMlnv24LJ3R2l,pay_bL8dxk7Gaxb4I1,4093.81,INR,captured,2024-01-25T10:52:52+05:30,cust_46987199,upi
order_UNriVsMzxEEtEy,pay_d8D0OUK0fO4IRG,17106.92,INR,captured,2024-01-25T15:50:49+05:30,cust_26081087,upi
order_YZ99ZxZcipP2AJ,pay_63SemmNa5mQ5ao,9146.49,INR,captured,2024-01-25T21:57:40+05:30,cust_39694083,upi
