txn_id,value_date,narration,credit,debit,balance
txn_0ezNmREpOaUVgA,2024-01-09,NEFT-AXISP327634657976-RAZORPAY SOFTWARE PVT,17798.48,,1577304.31
txn_7Gdp0CXP9K63LS,2024-01-11,NEFT-ICICR563876210248-RAZORPAY SOFTWARE PVT,23474.24,,1600778.55
txn_ZH3UDqpNVGMrer,2024-01-11,IMPS/AXISP485733168887/RZPY,41120.84,,1641899.39
txn_tHioRRdzHzmA4K,2024-01-12,NEFT-HDFCR195028486959-RAZORPAY SOFTWARE PVT,40091.52,,1681990.91
txn_1VxavU07zUHLnn,2024-01-12,IMPS/SBIN0675858742267/RZPY,54627.81,,1736618.72
txn_buQzkChMbyIbNi,2024-01-13,NEFT-KKBK0424723801312-RAZORPAY SOFTWARE PVT,31014.80,,1767633.52
txn_dxnuVxUZpfbH9v,2024-01-13,NEFT-SBIN0454249568730-RAZORPAY SOFTWARE PVT,33230.04,,1800863.56
txn_WOU6mbjhPInRVk,2024-01-14,IMPS/ICICR238857784243/RZPY,47677.64,,1848541.20
txn_UhY7gbtP7ySeQM,2024-01-14,IMPS/SBIN0789959560481/RZPY,45513.07,,1894054.27
txn_V0Lh8WvAwFv0Yg,2024-01-14,NEFT-ICICR323737820059-RAZORPAY SOFTWARE PVT,18018.10,,1912072.37
txn_NZRBT7qYHDBTq0,2024-01-15,IMPS/ICICR209002862419/RZPY,43770.78,,1955843.15
txn_f2pCLxb0lnXv2R,2024-01-15,IMPS/SBIN0671671891036/RZPY,34484.92,,1990328.07
txn_kTkx9NIQ0Wobtq,2024-01-16,NEFT-000000000000-VENDOR REFUND MISC,250.00,,1990578.07
txn_a6fSEVQOEXfnQs,2024-01-17,NEFT-SBIN0370661786197-RAZORPAY SOFTWARE PVT,25420.62,,2015998.69
txn_DGAUuRqphlhHVl,2024-01-18,IMPS/ICICR560604443841/RZPY,23694.34,,2039693.03
txn_ES8GrgmolaHr8I,2024-01-18,NEFT-HDFCR792854472880-RAZORPAY SOFTWARE PVT,34618.09,,2074311.12
txn_h1E2JDBld6DYye,2024-01-18,IMPS/SBIN0246308127387/RZPY,13257.31,,2087568.43
txn_djIs9hVLXnGBB1,2024-01-18,IMPS/ICICR551245247402/RZPY,47199.07,,2134767.50
txn_sMLT6mnOjkeaBK,2024-01-19,IMPS/SBIN0635454737221/RZPY,29225.18,,2163992.68
txn_oRRCQ5WMO5AHO4,2024-01-19,NEFT-HDFCR379617257598-RAZORPAY SOFTWARE PVT,23306.41,,2187299.09
txn_ektUJrhQR6FEec,2024-01-20,IMPS/ICICR210529561848/RZPY,15541.17,,2202840.26
txn_tpf7ZJ69PqcUDO,2024-01-20,NEFT-KKBK0243928104561-RAZORPAY SOFTWARE PVT,31676.04,,2234516.30
txn_lKNEfvuP1uRr6Y,2024-01-21,IMPS/KKBK0902545673925/RZPY,36065.13,,2270581.43
txn_Ctu8zF9OHzlwUM,2024-01-21,IMPS/SBIN0366792261100/RZPY,53972.97,,2324554.40
txn_mI5BRh8LojIIf9,2024-01-22,IMPS/SBIN0640228022758/RZPY,59428.20,,2383982.60
txn_ChZESFqZ8pIx5F,2024-01-23,IMPS/HDFCR456980137521/RZPY,52435.00,,2436417.60
txn_1rWz5FYrsK9EjH,2024-01-23,IMPS/ICICR695400432098/RZPY,33418.09,,2469835.69
txn_IHCtlRJoWcURYx,2024-01-23,NEFT-KKBK0507857154294-RAZORPAY SOFTWARE PVT,11169.54,,2481005.23
txn_Y8EcFK12BGCSzO,2024-01-24,IMPS/SBIN0944311446470/RZPY,42038.09,,2523043.32
txn_D8uQO001xtSV2c,2024-01-24,NEFT-AXISP339459654137-RAZORPAY SOFTWARE PVT,38232.68,,2561276.00
txn_N59UAgN2BR4cXs,2024-01-24,NEFT-SBIN0725946196215-RAZORPAY SOFTWARE PVT,19692.54,,2580968.54
txn_jGJXke1Mo4iCpp,2024-01-24,NEFT-KKBK0428196192744-RAZORPAY SOFTWARE PVT,15721.90,,2596690.44
txn_X3QjBvKNAp0mxD,2024-01-25,NEFT-SBIN0253958827495-RAZORPAY SOFTWARE PVT,46577.59,,2643268.03
txn_JJ9s8OrJQUdLE4,2024-01-25,NEFT-AXISP225941535543-RAZORPAY SOFTWARE PVT,6109.87,,2649377.90
txn_XLvNMQSOZM4OtB,2024-01-26,NEFT-HDFCR923843493976-RAZORPAY SOFTWARE PVT,33617.76,,2682995.66
txn_TfsUkiH8G4ZpZD,2024-01-26,IMPS/HDFCR405588454746/RZPY,48792.86,,2731788.52
txn_Uvh7i71S87XwXa,2024-01-26,IMPS/HDFCR072630365968/RZPY,27100.64,,2758889.16
txn_CPPKY6gob2I4nd,2024-01-28,IMPS/SBIN0800699740684/RZPY,47800.05,,2806689.21
txn_4szi6sEg3iCPU6,2024-01-28,IMPS/ICICR907231557108/RZPY,50919.03,,2857608.24
txn_UjzgEz6cwB61gQ,2024-01-29,NEFT-KKBK0645264684250-RAZORPAY SOFTWARE PVT,45397.07,,2903005.31
txn_8wylh0CPNLbWph,2024-01-30,IMPS/ICICR929643981332/RZPY,47287.04,,2950292.35
